
OccupationCode|Skill
51-4023.00|Science
51-4081.00|Quality Control Analysis
51-9032.00|Quality Control Analysis
11-3121.00|Complex Problem Solving
11-9081.00|Service Orientation
15-1254.00|Management of Material Resources
19-2012.00|Mathematics
25-1061.00|Social Perceptiveness
39-7011.00|Technology Design
47-2082.00|Repairing
53-4013.00|Repairing
11-3131.00|Active Learning
17-2081.00|Active Listening
25-9021.00|Management of Material Resources
13-1031.00|Critical Thinking
13-1041.01|Judgment and Decision Making
31-2022.00|Operations Analysis
35-9031.00|Speaking
47-2041.00|Quality Control Analysis
47-5071.00|Repairing
51-9192.00|Service Orientation
53-2031.00|Quality Control Analysis
17-2111.02|Active Learning
25-1031.00|Judgment and Decision Making
25-2012.00|Speaking
25-4022.00|Learning Strategies
51-6021.00|Mathematics
25-1064.00|Operations Monitoring
27-1014.00|Social Perceptiveness
29-1021.00|Systems Evaluation
29-1292.00|Systems Analysis
47-5013.00|Operation and Control
33-1011.00|Operation and Control
43-3041.00|Systems Evaluation
45-3031.00|Systems Analysis
47-4099.03|Critical Thinking
51-9151.00|Mathematics
53-3033.00|Repairing
13-1131.00|Social Perceptiveness
19-1031.00|Active Learning
21-1015.00|Programming
25-1043.00|Learning Strategies
27-2032.00|Speaking
29-1216.00|Management of Personnel Resources
35-2015.00|Troubleshooting
35-3011.00|Technology Design
47-4061.00|Systems Analysis
51-9041.00|Active Learning
15-1243.00|Judgment and Decision Making
17-2199.06|Service Orientation
19-1029.02|Management of Personnel Resources
17-2072.01|Management of Personnel Resources
17-2112.03|Installation
43-5061.00|Active Learning
51-4034.00|Technology Design
51-6051.00|Service Orientation
11-9031.00|Social Perceptiveness
31-9094.00|Systems Analysis
41-2031.00|Speaking
43-6014.00|Management of Personnel Resources
47-1011.03|Operation and Control
47-2051.00|Repairing
53-6011.00|Time Management
19-4021.00|Negotiation
19-4071.00|Social Perceptiveness
25-1082.00|Management of Material Resources
27-1022.00|Monitoring
31-9011.00|Systems Evaluation
51-9123.00|Learning Strategies
53-3032.00|Negotiation
11-3031.00|Reading Comprehension
11-3061.00|Negotiation
31-1131.00|Troubleshooting
47-4021.00|Systems Evaluation
49-3011.00|Installation
51-8013.03|Active Listening
13-1041.00|Reading Comprehension
13-2072.00|Technology Design
15-1299.02|Service Orientation
17-2061.00|Instructing
29-1229.01|Troubleshooting
39-9011.00|Quality Control Analysis
47-2044.00|Negotiation
13-1081.00|Writing
19-1042.00|Troubleshooting
25-1124.00|Programming
39-6011.00|Monitoring
43-5071.00|Management of Financial Resources
47-2152.04|Time Management
49-3093.00|Technology Design
51-4052.00|Instructing
13-1074.00|Negotiation
15-2021.00|Management of Material Resources
31-9097.00|Equipment Maintenance
31-9099.02|Reading Comprehension
41-2012.00|Instructing
45-2091.00|Systems Evaluation
49-9094.00|Complex Problem Solving
51-5112.00|Learning Strategies
51-8013.04|Quality Control Analysis
17-1021.00|Active Listening
17-2141.02|Learning Strategies
27-1023.00|Management of Material Resources
27-1026.00|Quality Control Analysis
47-5012.00|Reading Comprehension
47-5051.00|Negotiation
11-3071.04|Writing
15-1231.00|Active Learning
27-4032.00|Learning Strategies
41-3041.00|Management of Financial Resources
49-9064.00|Reading Comprehension
51-9012.00|Instructing
11-9179.02|Technology Design
13-1161.01|Management of Material Resources
19-4042.00|Writing
43-4141.00|Quality Control Analysis
51-4121.00|Management of Financial Resources
51-5113.00|Complex Problem Solving
11-3031.03|Negotiation
11-9013.00|Mathematics
11-9199.11|Technology Design
13-1041.08|Complex Problem Solving
13-1151.00|Service Orientation
15-1242.00|Management of Personnel Resources
47-5041.00|Active Listening
49-2092.00|Installation
35-3023.00|Systems Analysis
37-2021.00|Reading Comprehension
41-2021.00|Critical Thinking
41-9021.00|Management of Financial Resources
43-4011.00|Monitoring
47-4051.00|Technology Design
51-9061.00|Learning Strategies
51-9191.00|Coordination
19-1012.00|Writing
19-1032.00|Social Perceptiveness
25-1032.00|Negotiation
25-1066.00|Mathematics
51-4193.00|Time Management
29-1071.00|Persuasion
29-1129.02|Speaking
31-9093.00|Technology Design
41-4011.07|Reading Comprehension
43-9022.00|Management of Financial Resources
51-4041.00|Quality Control Analysis
13-1041.03|Negotiation
13-1111.00|Mathematics
15-1253.00|Complex Problem Solving
15-1299.09|Service Orientation
19-1031.03|Learning Strategies
19-2041.03|Coordination
25-1071.00|Science
25-3041.00|Management of Personnel Resources
51-2031.00|Installation
51-4192.00|Reading Comprehension
53-2022.00|Active Listening
11-3051.02|Active Listening
11-9199.08|Instructing
19-4099.01|Operations Monitoring
29-1223.00|Learning Strategies
29-1291.00|Coordination
35-9011.00|Critical Thinking
47-5022.00|Negotiation
11-2022.00|Technology Design
11-3051.03|Complex Problem Solving
27-1012.00|Mathematics
29-9092.00|Operations Monitoring
41-1012.00|Quality Control Analysis
41-4012.00|Time Management
47-2031.00|Active Listening
47-2111.00|Installation
49-9041.00|Critical Thinking
49-9091.00|Management of Financial Resources
17-2112.01|Learning Strategies
17-2199.05|Coordination
43-4061.00|Science
43-6013.00|Time Management
51-4061.00|Critical Thinking
51-5111.00|Management of Financial Resources
51-9081.00|Time Management
13-2099.01|Instructing
15-1244.00|Active Learning
19-1029.04|Operations Monitoring
29-1024.00|Coordination
49-9071.00|Negotiation
51-2021.00|Mathematics
51-8099.01|Quality Control Analysis
53-3031.00|Instructing
25-1067.00|Persuasion
33-2022.00|Operation and Control
47-4031.00|Critical Thinking
13-1041.06|Management of Financial Resources
25-1194.00|Equipment Maintenance
29-1222.00|Equipment Selection
39-5012.00|Systems Evaluation
51-4193.00|Judgment and Decision Making
51-6061.00|Management of Material Resources
15-1251.00|Management of Financial Resources
17-2199.08|Management of Material Resources
43-4031.00|Systems Evaluation
51-4194.00|Negotiation
51-6062.00|Mathematics
53-4041.00|Operations Monitoring
13-2081.00|Active Listening
27-2021.00|Operations Analysis
29-1041.00|Management of Material Resources
31-9091.00|Critical Thinking
33-9093.00|Persuasion
53-7021.00|Service Orientation
25-1072.00|Troubleshooting
25-1193.00|Operations Analysis
31-9092.00|Programming
45-4011.00|Monitoring
47-2043.00|Operation and Control
19-5011.00|Equipment Selection
21-1092.00|Programming
29-2035.00|Operation and Control
43-4041.00|Persuasion
19-1031.02|Equipment Selection
19-2041.02|Programming
27-4012.00|Management of Personnel Resources
29-1031.00|Monitoring
29-1128.00|Operation and Control
39-5091.00|Persuasion
53-5021.00|Learning Strategies
53-7011.00|Coordination
17-2112.03|Management of Personnel Resources
27-1013.00|Persuasion
27-2012.03|Speaking
33-9099.02|Troubleshooting
53-7041.00|Instructing
13-1081.00|Management of Financial Resources
19-1041.00|Writing
25-1194.00|Learning Strategies
27-2042.00|Management of Personnel Resources
29-9091.00|Troubleshooting
39-9032.00|Monitoring
47-2082.00|Operations Analysis
53-5011.00|Coordination
53-6031.00|Active Learning
17-2041.00|Management of Personnel Resources
27-2011.00|Monitoring
29-2057.00|Operations Analysis
51-4081.00|Negotiation
11-9151.00|Learning Strategies
17-2051.02|Social Perceptiveness
19-5011.00|Coordination
29-1141.04|Operations Analysis
33-9093.00|Operation and Control
51-4032.00|Mathematics
13-1071.00|Active Listening
17-2112.03|Writing
17-2199.10|Complex Problem Solving
27-3011.00|Social Perceptiveness
47-5081.00|Management of Financial Resources
19-1031.02|Coordination
19-2041.00|Learning Strategies
25-2032.00|Social Perceptiveness
29-1222.00|Coordination
11-3071.04|Management of Financial Resources
17-2071.00|Equipment Maintenance
19-4012.00|Persuasion
29-2031.00|Speaking
33-1021.00|Repairing
33-3011.00|Quality Control Analysis
47-4099.03|Time Management
49-9061.00|Installation
13-1031.00|Time Management
17-2131.00|Operations Monitoring
17-2199.08|Instructing
33-3031.00|Systems Evaluation
47-5023.00|Repairing
47-5051.00|Quality Control Analysis
17-2141.00|Active Learning
29-2081.00|Management of Personnel Resources
39-3031.00|Systems Evaluation
49-9097.00|Quality Control Analysis
51-6021.00|Active Listening
19-4042.00|Management of Personnel Resources
29-2055.00|Persuasion
41-9091.00|Active Listening
47-2022.00|Speaking
51-2011.00|Systems Evaluation
51-4035.00|Judgment and Decision Making
51-4121.00|Installation
51-9021.00|Equipment Maintenance
19-1012.00|Management of Personnel Resources
29-2053.00|Systems Evaluation
41-9012.00|Active Learning
47-2021.00|Repairing
49-9044.00|Technology Design
51-9194.00|Instructing
53-3052.00|Judgment and Decision Making
11-1011.00|Instructing
11-3051.00|Repairing
17-3011.00|Mathematics
25-9044.00|Science
35-1012.00|Programming
39-2021.00|Quality Control Analysis
47-2072.00|Systems Evaluation
49-3052.00|Complex Problem Solving
49-9062.00|Time Management
51-9083.00|Active Learning
27-1013.00|Operation and Control
29-9093.00|Programming
39-5012.00|Reading Comprehension
45-2011.00|Instructing
49-2011.00|Systems Evaluation
13-2052.00|Learning Strategies
15-1232.00|Installation
19-4099.03|Programming
29-1171.00|Management of Personnel Resources
29-1229.02|Operations Monitoring
43-4171.00|Monitoring
49-9096.00|Active Listening
51-3011.00|Reading Comprehension
51-4071.00|Technology Design
51-6031.00|Quality Control Analysis
51-9195.00|Critical Thinking
19-3022.00|Mathematics
21-1091.00|Complex Problem Solving
27-4031.00|Coordination
29-2092.00|Persuasion
39-6012.00|Programming
49-2022.00|Quality Control Analysis
51-7031.00|Reading Comprehension
51-9195.05|Mathematics
53-6061.00|Complex Problem Solving
11-2011.00|Mathematics
11-9121.00|Management of Material Resources
11-9161.00|Complex Problem Solving
17-2021.00|Equipment Maintenance
27-1023.00|Programming
31-9096.00|Repairing
39-7011.00|Speaking
53-6021.00|Operations Monitoring
19-1021.00|Persuasion
21-1015.00|Management of Material Resources
25-1082.00|Programming
29-2012.00|Monitoring
37-1012.00|Repairing
47-3012.00|Complex Problem Solving
51-4072.00|Judgment and Decision Making
17-2081.00|Judgment and Decision Making
17-2199.03|Active Learning
21-1014.00|Operations Monitoring
33-3051.00|Quality Control Analysis
43-4031.00|Reading Comprehension
45-2021.00|Critical Thinking
47-2141.00|Persuasion
49-9052.00|Repairing
53-7062.04|Mathematics
11-9199.09|Mathematics
27-2012.00|Management of Material Resources
39-3092.00|Quality Control Analysis
43-4121.00|Speaking
45-4022.00|Reading Comprehension
51-6041.00|Active Learning
51-9151.00|Active Listening
53-1042.00|Reading Comprehension
53-4022.00|Writing
11-9032.00|Writing
15-2051.01|Learning Strategies
19-2041.01|Complex Problem Solving
29-1124.00|Speaking
39-4021.00|Troubleshooting
45-4021.00|Repairing
47-4031.00|Mathematics
49-9064.00|Technology Design
51-2022.00|Quality Control Analysis
19-4092.00|Writing
33-9031.00|Troubleshooting
43-3021.00|Critical Thinking
43-4081.00|Monitoring
47-4091.00|Repairing
51-9031.00|Judgment and Decision Making
51-9162.00|Active Learning
25-1124.00|Management of Material Resources
29-1122.01|Monitoring
29-1151.00|Equipment Maintenance
49-9031.00|Installation
51-6062.00|Critical Thinking
51-9123.00|Service Orientation
19-4043.00|Troubleshooting
47-2231.00|Instructing
11-9013.00|Active Listening
13-1011.00|Judgment and Decision Making
13-1041.00|Technology Design
19-1029.02|Writing
27-3042.00|Management of Personnel Resources
43-4071.00|Systems Analysis
45-1011.00|Science
51-6042.00|Management of Financial Resources
53-3032.00|Equipment Maintenance
53-7071.00|Negotiation
13-1021.00|Negotiation
23-1023.00|Judgment and Decision Making
31-2011.00|Coordination
47-1011.03|Systems Analysis
47-5012.00|Technology Design
53-6041.00|Service Orientation
19-4021.00|Equipment Maintenance
27-1027.00|Equipment Selection
29-2091.00|Troubleshooting
35-2012.00|Operation and Control
49-3043.00|Instructing
11-9021.00|Quality Control Analysis
17-2072.01|Writing
17-2141.02|Service Orientation
19-2012.00|Coordination
27-3043.00|Judgment and Decision Making
29-9099.01|Operation and Control
33-3051.04|Operations Analysis
13-1075.00|Active Learning
15-1221.00|Negotiation
29-1211.00|Persuasion
29-1229.04|Coordination
51-9012.00|Installation
11-3031.00|Technology Design
15-1212.00|Judgment and Decision Making
19-4013.00|Operations Analysis
29-1127.00|Equipment Selection
33-1011.00|Systems Analysis
49-9051.00|Negotiation
51-9011.00|Social Perceptiveness
17-2141.01|Coordination
19-1022.00|Social Perceptiveness
19-2021.00|Service Orientation
25-2058.00|Judgment and Decision Making
39-3012.00|Management of Financial Resources
47-2081.00|Quality Control Analysis
47-5013.00|Systems Analysis
49-2091.00|Operations Analysis
23-1011.00|Management of Material Resources
33-9031.00|Systems Evaluation
43-4081.00|Critical Thinking
11-9199.01|Negotiation
29-1022.00|Operations Monitoring
29-1081.00|Equipment Selection
43-3031.00|Programming
49-2095.00|Systems Evaluation
49-9091.00|Installation
51-8011.00|Critical Thinking
51-8013.03|Judgment and Decision Making
11-9121.01|Mathematics
25-4013.00|Science
37-3012.00|Quality Control Analysis
45-4022.00|Speaking
53-2011.00|Equipment Maintenance
53-6051.01|Writing
19-3011.01|Management of Material Resources
25-9021.00|Programming
29-1141.01|Judgment and Decision Making
29-1299.02|Speaking
49-9071.00|Quality Control Analysis
51-9161.00|Operations Monitoring
13-2082.00|Negotiation
17-2111.00|Persuasion
43-5011.00|Time Management
43-5052.00|Active Listening
47-2132.00|Systems Evaluation
49-3022.00|Complex Problem Solving
51-3092.00|Critical Thinking
51-4194.00|Quality Control Analysis
11-9041.00|Systems Evaluation
13-2023.00|Mathematics
19-2041.01|Operations Monitoring
25-2051.00|Management of Material Resources
29-1141.03|Monitoring
33-3052.00|Management of Financial Resources
43-9022.00|Persuasion
49-9012.00|Negotiation
51-9141.00|Writing
53-2022.00|Judgment and Decision Making
53-3052.00|Time Management
53-4031.00|Active Listening
11-3111.00|Time Management
13-1131.00|Active Learning
27-2023.00|Monitoring
29-1011.00|Programming
31-9097.00|Speaking
39-7012.00|Operation and Control
41-2012.00|Systems Analysis
49-3031.00|Mathematics
53-3011.00|Technology Design
11-3051.04|Technology Design
11-9199.08|Management of Material Resources
17-1012.00|Reading Comprehension
19-2032.00|Writing
27-1025.00|Operation and Control
51-3023.00|Complex Problem Solving
27-3043.05|Persuasion
29-2091.00|Systems Evaluation
39-6011.00|Critical Thinking
41-9011.00|Quality Control Analysis
47-2121.00|Active Listening
51-2031.00|Management of Financial Resources
53-6021.00|Complex Problem Solving
11-9111.00|Complex Problem Solving
19-4061.00|Service Orientation
25-1066.00|Coordination
27-4032.00|Troubleshooting
29-1241.00|Writing
51-4041.00|Negotiation
51-4111.00|Social Perceptiveness
53-4011.00|Service Orientation
53-6061.00|Operations Monitoring
53-7065.00|Instructing
11-9021.00|Service Orientation
17-2111.02|Social Perceptiveness
25-1122.00|Learning Strategies
27-2022.00|Systems Analysis
33-9092.00|Coordination
39-7011.00|Reading Comprehension
47-2161.00|Complex Problem Solving
51-3092.00|Mathematics
13-1041.01|Active Listening
17-2161.00|Writing
25-2058.00|Operations Analysis
27-3091.00|Social Perceptiveness
29-1141.02|Systems Analysis
35-1011.00|Critical Thinking
43-4121.00|Reading Comprehension
47-2081.00|Service Orientation
47-4061.00|Instructing
49-2092.00|Management of Financial Resources
11-9081.00|Learning Strategies
13-1141.00|Management of Financial Resources
19-4051.02|Coordination
29-1011.00|Writing
43-5031.00|Systems Analysis
49-3031.00|Critical Thinking
51-8013.00|Reading Comprehension
51-8099.01|Negotiation
15-1231.00|Social Perceptiveness
21-1013.00|Learning Strategies
29-1051.00|Speaking
29-2099.01|Coordination
39-3031.00|Troubleshooting
47-2073.00|Systems Analysis
15-1254.00|Writing
17-1021.00|Judgment and Decision Making
25-2059.01|Social Perceptiveness
37-3013.00|Operations Analysis
11-9032.00|Management of Financial Resources
19-1023.00|Coordination
25-1043.00|Troubleshooting
27-2021.00|Judgment and Decision Making
33-1021.00|Operations Analysis
47-5022.00|Quality Control Analysis
21-1014.00|Complex Problem Solving
23-1023.00|Operations Analysis
43-4031.00|Speaking
51-9195.04|Active Learning
17-2121.00|Active Listening
17-2141.00|Social Perceptiveness
25-2023.00|Judgment and Decision Making
35-3023.00|Operation and Control
43-4161.00|Systems Analysis
43-5111.00|Service Orientation
47-2152.00|Management of Financial Resources
13-1151.00|Learning Strategies
27-4021.00|Social Perceptiveness
29-1222.00|Science
29-2032.00|Time Management
33-3031.00|Troubleshooting
51-4193.00|Active Listening
53-5021.00|Service Orientation
21-1021.00|Operation and Control
25-1072.00|Learning Strategies
41-4012.00|Active Listening
43-9021.00|Systems Evaluation
51-8013.04|Negotiation
15-1244.00|Social Perceptiveness
29-1128.00|Systems Analysis
29-2099.05|Management of Financial Resources
47-5041.00|Time Management
49-9011.00|Operation and Control
17-2051.00|Judgment and Decision Making
17-2199.05|Mathematics
25-1031.00|Operations Analysis
25-4012.00|Social Perceptiveness
29-2035.00|Systems Analysis
49-9092.00|Time Management
15-1243.00|Active Listening
29-2052.00|Management of Personnel Resources
31-2012.00|Operation and Control
47-2043.00|Systems Analysis
51-9198.00|Instructing
13-1041.04|Social Perceptiveness
13-1074.00|Quality Control Analysis
19-1031.03|Service Orientation
29-1141.00|Management of Personnel Resources
51-9061.00|Service Orientation
13-2081.00|Judgment and Decision Making
17-3027.01|Management of Personnel Resources
19-2041.03|Mathematics
25-1041.00|Social Perceptiveness
33-3012.00|Operations Analysis
45-3031.00|Instructing
27-1011.00|Programming
29-1071.00|Operations Monitoring
47-4021.00|Speaking
49-3023.00|Systems Evaluation
49-9021.00|Repairing
19-3092.00|Operations Analysis
21-1092.00|Management of Material Resources
31-9011.00|Speaking
41-2021.00|Monitoring
43-4011.00|Critical Thinking
21-1093.00|Mathematics
29-1218.00|Persuasion
35-9011.00|Monitoring
45-4011.00|Critical Thinking
51-2023.00|Active Learning
53-7011.00|Mathematics
17-2112.01|Service Orientation
27-1013.00|Operations Monitoring
33-9099.02|Systems Evaluation
51-9081.00|Active Listening
53-5031.00|Writing
19-3011.00|Operations Monitoring
39-4031.00|Critical Thinking
49-3093.00|Reading Comprehension
13-2072.00|Reading Comprehension
29-1217.00|Systems Evaluation
41-9031.00|Science
43-6013.00|Active Listening
51-2041.00|Learning Strategies
51-2092.00|Critical Thinking
51-6064.00|Active Learning
15-1299.09|Learning Strategies
25-2011.00|Management of Material Resources
29-9091.00|Systems Evaluation
47-2031.00|Time Management
49-9095.00|Technology Design
51-2051.00|Complex Problem Solving
51-7011.00|Critical Thinking
51-9071.06|Writing
11-3051.02|Time Management
15-2021.00|Instructing
17-2199.10|Operations Monitoring
17-3026.01|Equipment Maintenance
27-1021.00|Learning Strategies
35-3011.00|Reading Comprehension
47-2171.00|Systems Evaluation
49-3091.00|Mathematics
53-3032.00|Service Orientation
53-7061.00|Operations Monitoring
53-7062.00|Management of Personnel Resources
11-3061.00|Service Orientation
25-2012.00|Systems Evaluation
29-1215.00|Critical Thinking
29-9093.00|Quality Control Analysis
51-3091.00|Installation
51-8013.03|Mathematics
35-9031.00|Systems Evaluation
41-3041.00|Systems Analysis
43-6013.00|Critical Thinking
47-2044.00|Service Orientation
47-2211.00|Quality Control Analysis
49-3052.00|Repairing
15-2041.01|Active Learning
31-9099.01|Management of Personnel Resources
37-3013.00|Equipment Selection
41-2031.00|Systems Evaluation
43-5071.00|Systems Analysis
47-2152.04|Critical Thinking
49-3041.00|Quality Control Analysis
51-4023.00|Repairing
51-9051.00|Systems Analysis
51-9195.03|Operations Monitoring
53-2022.00|Mathematics
53-7064.00|Social Perceptiveness
11-3051.02|Mathematics
23-1011.00|Management of Personnel Resources
51-3011.00|Active Learning
51-4071.00|Systems Evaluation
17-3031.00|Service Orientation
19-3011.01|Management of Personnel Resources
25-3021.00|Troubleshooting
29-1127.00|Judgment and Decision Making
43-9022.00|Operation and Control
47-3012.00|Repairing
49-2011.00|Technology Design
51-7011.00|Active Listening
29-1218.00|Operation and Control
35-1012.00|Quality Control Analysis
45-2091.00|Speaking
51-9197.00|Social Perceptiveness
15-1243.00|Coordination
49-9044.00|Systems Evaluation
51-7031.00|Active Learning
19-3033.00|Social Perceptiveness
19-4021.00|Service Orientation
29-2011.01|Management of Personnel Resources
39-1022.00|Troubleshooting
11-3131.00|Technology Design
11-9151.00|Negotiation
29-2012.00|Social Perceptiveness
33-2011.00|Management of Material Resources
39-1013.00|Monitoring
47-2151.00|Science
53-2012.00|Complex Problem Solving
25-2059.01|Monitoring
27-4012.00|Programming
39-5091.00|Management of Financial Resources
43-4081.00|Time Management
47-2072.00|Technology Design
49-2092.00|Instructing
53-2011.00|Learning Strategies
53-7041.00|Writing
11-3031.03|Learning Strategies
17-3013.00|Social Perceptiveness
23-2093.00|Monitoring
25-3041.00|Programming
29-1217.00|Reading Comprehension
47-2021.00|Complex Problem Solving
11-9121.01|Active Listening
13-2052.00|Negotiation
19-3093.00|Learning Strategies
29-1122.01|Social Perceptiveness
29-2099.01|Science
43-9021.00|Reading Comprehension
11-9071.00|Active Learning
13-1199.04|Operations Monitoring
33-9093.00|Management of Financial Resources
43-9031.00|Quality Control Analysis
47-2171.00|Reading Comprehension
51-2031.00|Instructing
51-9194.00|Writing
53-6031.00|Reading Comprehension
17-3027.00|Complex Problem Solving
25-1112.00|Operations Monitoring
49-3011.00|Management of Financial Resources
51-9011.00|Technology Design
53-7073.00|Management of Material Resources
17-1022.00|Negotiation
17-3026.01|Learning Strategies
47-2221.00|Operations Analysis
51-3021.00|Management of Financial Resources
51-8012.00|Complex Problem Solving
13-1199.05|Active Learning
43-4111.00|Complex Problem Solving
51-4022.00|Negotiation
53-7071.00|Learning Strategies
13-1021.00|Learning Strategies
25-2032.00|Monitoring
31-1131.00|Speaking
49-3031.00|Time Management
51-6061.00|Writing
13-2023.00|Time Management
15-2041.00|Operations Monitoring
17-2199.08|Writing
17-3025.00|Social Perceptiveness
23-2011.00|Learning Strategies
25-1053.00|Coordination
29-1126.00|Management of Personnel Resources
13-2081.00|Mathematics
17-1011.00|Complex Problem Solving
17-2071.00|Service Orientation
19-1042.00|Speaking
27-1025.00|Operations Monitoring
29-1041.00|Writing
33-3051.04|Coordination
41-4011.00|Science
47-2132.00|Technology Design
51-3092.00|Active Listening
11-3051.06|Coordination
35-1011.00|Time Management
37-2012.00|Monitoring
39-3012.00|Operation and Control
47-3013.00|Speaking
15-2051.02|Social Perceptiveness
19-4013.00|Coordination
39-6011.00|Time Management
49-2093.00|Critical Thinking
49-3043.00|Management of Financial Resources
53-4022.00|Instructing
11-9032.00|Instructing
11-9131.00|Active Learning
15-2051.01|Negotiation
17-2051.00|Mathematics
19-1031.00|Technology Design
27-1011.00|Writing
27-2011.00|Social Perceptiveness
51-3092.00|Time Management
51-7021.00|Operations Monitoring
51-9041.00|Technology Design
13-2023.00|Active Listening
17-3022.00|Operations Monitoring
29-1213.00|Science
29-1229.03|Quality Control Analysis
47-2111.00|Instructing
51-3022.00|Negotiation
51-8011.00|Time Management
13-2031.00|Complex Problem Solving
17-3021.00|Learning Strategies
25-1192.00|Active Learning
29-1125.00|Operations Monitoring
33-9011.00|Critical Thinking
35-2012.00|Management of Financial Resources
35-2015.00|Speaking
39-5092.00|Negotiation
43-5061.00|Technology Design
43-6011.00|Science
49-3031.00|Active Listening
11-9141.00|Management of Financial Resources
19-1013.00|Mathematics
19-3041.00|Judgment and Decision Making
33-1011.00|Persuasion
37-2021.00|Systems Evaluation
45-1011.00|Operations Analysis
23-1021.00|Persuasion
29-1161.00|Critical Thinking
49-9064.00|Systems Evaluation
51-7041.00|Negotiation
53-1041.00|Operations Monitoring
19-3032.00|Persuasion
27-4031.00|Operations Analysis
29-9099.01|Management of Financial Resources
51-4192.00|Systems Evaluation
51-7032.00|Judgment and Decision Making
17-3024.00|Judgment and Decision Making
33-2011.00|Management of Personnel Resources
47-2121.00|Critical Thinking
47-2231.00|Management of Financial Resources
53-1043.00|Negotiation
53-3052.00|Mathematics
53-7081.00|Judgment and Decision Making
11-9121.01|Time Management
25-1052.00|Programming
29-2033.00|Management of Personnel Resources
47-4091.00|Complex Problem Solving
47-5012.00|Systems Evaluation
47-5051.00|Service Orientation
29-1229.01|Speaking
41-4011.07|Troubleshooting
17-3023.00|Management of Personnel Resources
25-9031.00|Coordination
37-2021.00|Troubleshooting
43-2011.00|Operation and Control
43-5052.00|Critical Thinking
53-1042.01|Judgment and Decision Making
27-3011.00|Monitoring
27-4032.00|Equipment Maintenance
31-9099.02|Systems Evaluation
33-1021.00|Equipment Selection
33-3051.00|Programming
37-3011.00|Persuasion
53-1041.00|Complex Problem Solving
11-3012.00|Complex Problem Solving
15-1244.00|Technology Design
25-2058.00|Coordination
29-1229.05|Management of Financial Resources
29-2057.00|Science
31-9091.00|Time Management
51-2021.00|Active Listening
51-6092.00|Negotiation
33-2022.00|Persuasion
39-3091.00|Active Listening
43-1011.00|Reading Comprehension
43-3061.00|Negotiation
45-2011.00|Management of Financial Resources
45-4021.00|Complex Problem Solving
47-4031.00|Time Management
51-3091.00|Writing
13-1011.00|Coordination
15-1241.00|Equipment Maintenance
29-2035.00|Persuasion
33-3021.02|Monitoring
43-9081.00|Reading Comprehension
49-9041.00|Time Management
51-9162.00|Reading Comprehension
51-9196.00|Negotiation
53-7041.00|Management of Financial Resources
53-7072.00|Complex Problem Solving
17-2141.00|Technology Design
17-3026.01|Service Orientation
19-2032.00|Instructing
19-3051.00|Persuasion
23-1023.00|Coordination
25-1041.00|Monitoring
27-2012.00|Writing
51-6062.00|Active Listening
51-9141.00|Instructing
13-1111.00|Active Listening
17-3022.00|Complex Problem Solving
19-1031.03|Equipment Maintenance
25-1126.00|Operations Monitoring
29-1171.00|Management of Material Resources
35-9011.00|Time Management
37-1012.00|Equipment Selection
41-4011.07|Systems Evaluation
43-9051.00|Instructing
47-3011.00|Critical Thinking
51-7021.00|Complex Problem Solving
11-1011.00|Management of Financial Resources
13-2082.00|Learning Strategies
17-3024.00|Mathematics
25-1021.00|Persuasion
25-1124.00|Writing
31-9096.00|Equipment Selection
47-2142.00|Quality Control Analysis
53-6051.01|Instructing
11-9051.00|Quality Control Analysis
29-2051.00|Monitoring
47-3013.00|Reading Comprehension
51-4061.00|Time Management
13-2041.00|Active Learning
17-1011.00|Operations Monitoring
35-9021.00|Management of Personnel Resources
43-9061.00|Critical Thinking
51-4081.00|Service Orientation
15-2041.00|Complex Problem Solving
19-3041.00|Mathematics
21-1015.00|Writing
25-2011.00|Management of Personnel Resources
27-2012.04|Operations Monitoring
47-2151.00|Operations Analysis
49-3023.00|Speaking
49-3042.00|Active Learning
53-1042.01|Mathematics
19-2041.03|Judgment and Decision Making
21-1092.00|Management of Personnel Resources
25-2023.00|Equipment Selection
43-6011.00|Operations Analysis
13-2031.00|Operations Monitoring
29-1213.00|Operations Analysis
29-1224.00|Critical Thinking
29-9091.00|Speaking
45-4023.00|Mathematics
51-3023.00|Repairing
17-2081.00|Coordination
51-8012.00|Operations Monitoring
53-7081.00|Mathematics
11-2011.00|Time Management
17-3027.00|Operations Monitoring
25-2057.00|Programming
27-3043.00|Coordination
31-9092.00|Management of Personnel Resources
33-3052.00|Operation and Control
49-2095.00|Technology Design
49-9051.00|Service Orientation
53-7011.00|Judgment and Decision Making
11-9199.09|Time Management
19-3091.00|Social Perceptiveness
25-4012.00|Monitoring
27-4011.00|Critical Thinking
33-9099.02|Speaking
39-3012.00|Systems Analysis
49-3022.00|Repairing
15-1212.00|Coordination
19-2041.02|Management of Personnel Resources
21-1093.00|Judgment and Decision Making
29-1128.00|Persuasion
29-1141.04|Science
41-9091.00|Critical Thinking
51-3093.00|Operations Monitoring
51-8013.00|Active Learning
51-9195.05|Judgment and Decision Making
27-3042.00|Programming
29-1151.00|Troubleshooting
29-1222.00|Operations Analysis
49-9095.00|Systems Evaluation
51-2051.00|Repairing
13-2072.00|Active Learning
19-3022.00|Judgment and Decision Making
11-9041.01|Active Listening
29-2011.02|Judgment and Decision Making
29-2052.00|Management of Material Resources
49-3011.00|Instructing
49-3093.00|Active Learning
