
OccupationCode|EducationLevel
41-2031.00|Associate's Degree (or other 2-year degree)
41-2031.00|High School Diploma - or the equivalent (for example, GED)
41-2031.00|Less than a High School Diploma
41-3011.00|Bachelor's Degree
41-3011.00|High School Diploma - or the equivalent (for example, GED)
41-3011.00|Some College Courses
41-3021.00|Associate's Degree (or other 2-year degree)
41-3021.00|High School Diploma - or the equivalent (for example, GED)
41-3021.00|Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.
41-3021.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
41-3021.00|Some College Courses
41-3031.00|Bachelor's Degree
41-3031.00|High School Diploma - or the equivalent (for example, GED)
41-3031.00|Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.
41-3031.00|Some College Courses
41-3041.00|Associate's Degree (or other 2-year degree)
41-3041.00|Bachelor's Degree
41-3041.00|High School Diploma - or the equivalent (for example, GED)
41-3041.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
41-3041.00|Some College Courses
41-4011.00|Bachelor's Degree
41-4011.00|High School Diploma - or the equivalent (for example, GED)
41-4011.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
41-4011.00|Some College Courses
41-4011.07|Associate's Degree (or other 2-year degree)
41-4011.07|Bachelor's Degree
41-4011.07|High School Diploma - or the equivalent (for example, GED)
41-4011.07|Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.
41-4011.07|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
41-4011.07|Some College Courses
41-4012.00|Some College Courses
41-9011.00|High School Diploma - or the equivalent (for example, GED)
41-9011.00|Less than a High School Diploma
41-9012.00|High School Diploma - or the equivalent (for example, GED)
41-9012.00|Less than a High School Diploma
41-9021.00|Associate's Degree (or other 2-year degree)
41-9021.00|Bachelor's Degree
41-9021.00|First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.
41-9021.00|High School Diploma - or the equivalent (for example, GED)
41-9021.00|Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.
41-9021.00|Some College Courses
41-9031.00|Associate's Degree (or other 2-year degree)
41-9031.00|Bachelor's Degree
41-9031.00|Some College Courses
41-9041.00|High School Diploma - or the equivalent (for example, GED)
41-9041.00|Less than a High School Diploma
41-9041.00|Some College Courses
43-1011.00|Associate's Degree (or other 2-year degree)
43-1011.00|Bachelor's Degree
43-1011.00|High School Diploma - or the equivalent (for example, GED)
43-1011.00|Some College Courses
43-2011.00|High School Diploma - or the equivalent (for example, GED)
43-2011.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
43-2021.00|High School Diploma - or the equivalent (for example, GED)
43-2021.00|Less than a High School Diploma
43-3011.00|Bachelor's Degree
43-3011.00|High School Diploma - or the equivalent (for example, GED)
43-3011.00|Some College Courses
43-3021.00|Associate's Degree (or other 2-year degree)
43-3021.00|High School Diploma - or the equivalent (for example, GED)
43-3021.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
43-3021.00|Some College Courses
43-3031.00|Associate's Degree (or other 2-year degree)
43-3031.00|Bachelor's Degree
43-3031.00|High School Diploma - or the equivalent (for example, GED)
43-3031.00|Less than a High School Diploma
43-3031.00|Master's Degree
43-3031.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
43-3041.00|High School Diploma - or the equivalent (for example, GED)
43-3041.00|Less than a High School Diploma
43-3051.00|Associate's Degree (or other 2-year degree)
43-3051.00|Bachelor's Degree
43-3051.00|High School Diploma - or the equivalent (for example, GED)
43-3061.00|Bachelor's Degree
43-3061.00|High School Diploma - or the equivalent (for example, GED)
43-3061.00|Some College Courses
43-3071.00|Associate's Degree (or other 2-year degree)
43-3071.00|Bachelor's Degree
43-3071.00|High School Diploma - or the equivalent (for example, GED)
43-3071.00|Some College Courses
43-4011.00|Associate's Degree (or other 2-year degree)
43-4011.00|Bachelor's Degree
43-4011.00|High School Diploma - or the equivalent (for example, GED)
43-4011.00|Some College Courses
43-4021.00|Associate's Degree (or other 2-year degree)
43-4021.00|High School Diploma - or the equivalent (for example, GED)
43-4021.00|Some College Courses
43-4031.00|Associate's Degree (or other 2-year degree)
43-4031.00|Bachelor's Degree
43-4031.00|High School Diploma - or the equivalent (for example, GED)
43-4031.00|Some College Courses
43-4051.00|Associate's Degree (or other 2-year degree)
43-4051.00|Bachelor's Degree
43-4051.00|High School Diploma - or the equivalent (for example, GED)
43-4051.00|Some College Courses
43-4061.00|Associate's Degree (or other 2-year degree)
43-4061.00|Bachelor's Degree
43-4061.00|High School Diploma - or the equivalent (for example, GED)
43-4061.00|Less than a High School Diploma
43-4061.00|Master's Degree
43-4061.00|Some College Courses
43-4071.00|Associate's Degree (or other 2-year degree)
43-4071.00|High School Diploma - or the equivalent (for example, GED)
43-4071.00|Less than a High School Diploma
43-4071.00|Master's Degree
43-4071.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
43-4081.00|Associate's Degree (or other 2-year degree)
43-4081.00|High School Diploma - or the equivalent (for example, GED)
43-4081.00|Some College Courses
43-4111.00|Associate's Degree (or other 2-year degree)
43-4111.00|High School Diploma - or the equivalent (for example, GED)
43-4111.00|Some College Courses
43-4121.00|Associate's Degree (or other 2-year degree)
43-4121.00|High School Diploma - or the equivalent (for example, GED)
43-4121.00|Less than a High School Diploma
43-4121.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
43-4121.00|Some College Courses
43-4131.00|Associate's Degree (or other 2-year degree)
43-4131.00|Bachelor's Degree
43-4131.00|High School Diploma - or the equivalent (for example, GED)
43-4131.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
43-4141.00|Associate's Degree (or other 2-year degree)
43-4141.00|High School Diploma - or the equivalent (for example, GED)
43-4141.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
43-4141.00|Some College Courses
43-4151.00|Associate's Degree (or other 2-year degree)
43-4151.00|High School Diploma - or the equivalent (for example, GED)
43-4151.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
43-4151.00|Some College Courses
43-4161.00|Associate's Degree (or other 2-year degree)
43-4161.00|Bachelor's Degree
43-4161.00|High School Diploma - or the equivalent (for example, GED)
43-4161.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
43-4161.00|Some College Courses
43-4171.00|Associate's Degree (or other 2-year degree)
43-4171.00|High School Diploma - or the equivalent (for example, GED)
43-4171.00|Less than a High School Diploma
43-4171.00|Some College Courses
43-4181.00|Less than a High School Diploma
43-5011.00|Associate's Degree (or other 2-year degree)
43-5011.00|Bachelor's Degree
43-5011.00|High School Diploma - or the equivalent (for example, GED)
43-5011.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
43-5011.00|Some College Courses
43-5011.01|Associate's Degree (or other 2-year degree)
43-5011.01|Bachelor's Degree
43-5011.01|High School Diploma - or the equivalent (for example, GED)
43-5011.01|Some College Courses
43-5021.00|Associate's Degree (or other 2-year degree)
43-5021.00|High School Diploma - or the equivalent (for example, GED)
43-5021.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
43-5031.00|Associate's Degree (or other 2-year degree)
43-5031.00|High School Diploma - or the equivalent (for example, GED)
43-5031.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
43-5031.00|Some College Courses
43-5032.00|Associate's Degree (or other 2-year degree)
43-5032.00|Bachelor's Degree
43-5032.00|High School Diploma - or the equivalent (for example, GED)
43-5032.00|Less than a High School Diploma
43-5032.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
43-5032.00|Some College Courses
43-5041.00|Associate's Degree (or other 2-year degree)
43-5041.00|High School Diploma - or the equivalent (for example, GED)
43-5041.00|Some College Courses
43-5051.00|High School Diploma - or the equivalent (for example, GED)
43-5051.00|Less than a High School Diploma
43-5051.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
43-5051.00|Some College Courses
43-5052.00|High School Diploma - or the equivalent (for example, GED)
43-5052.00|Less than a High School Diploma
43-5052.00|Some College Courses
43-5053.00|High School Diploma - or the equivalent (for example, GED)
43-5053.00|Less than a High School Diploma
43-5053.00|Some College Courses
43-5061.00|Associate's Degree (or other 2-year degree)
43-5061.00|High School Diploma - or the equivalent (for example, GED)
43-5061.00|Less than a High School Diploma
43-5061.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
43-5061.00|Some College Courses
43-5071.00|Associate's Degree (or other 2-year degree)
43-5071.00|Bachelor's Degree
43-5071.00|High School Diploma - or the equivalent (for example, GED)
43-5111.00|High School Diploma - or the equivalent (for example, GED)
43-5111.00|Less than a High School Diploma
43-5111.00|Some College Courses
43-6011.00|Associate's Degree (or other 2-year degree)
43-6011.00|Bachelor's Degree
43-6011.00|High School Diploma - or the equivalent (for example, GED)
43-6011.00|Some College Courses
43-6012.00|Associate's Degree (or other 2-year degree)
43-6012.00|Bachelor's Degree
43-6012.00|High School Diploma - or the equivalent (for example, GED)
43-6012.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
43-6012.00|Some College Courses
43-6013.00|Associate's Degree (or other 2-year degree)
43-6013.00|High School Diploma - or the equivalent (for example, GED)
43-6013.00|Less than a High School Diploma
43-6013.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
43-6014.00|Associate's Degree (or other 2-year degree)
43-6014.00|Bachelor's Degree
43-6014.00|High School Diploma - or the equivalent (for example, GED)
43-6014.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
43-6014.00|Some College Courses
43-9021.00|Associate's Degree (or other 2-year degree)
43-9022.00|High School Diploma - or the equivalent (for example, GED)
43-9022.00|Some College Courses
43-9031.00|Associate's Degree (or other 2-year degree)
43-9031.00|Bachelor's Degree
43-9041.00|Associate's Degree (or other 2-year degree)
43-9041.00|Bachelor's Degree
43-9041.00|High School Diploma - or the equivalent (for example, GED)
43-9041.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
43-9041.00|Some College Courses
43-9051.00|Associate's Degree (or other 2-year degree)
43-9061.00|Associate's Degree (or other 2-year degree)
43-9061.00|High School Diploma - or the equivalent (for example, GED)
43-9061.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
43-9061.00|Some College Courses
43-9071.00|Associate's Degree (or other 2-year degree)
43-9071.00|Bachelor's Degree
43-9071.00|High School Diploma - or the equivalent (for example, GED)
43-9071.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
43-9081.00|Associate's Degree (or other 2-year degree)
43-9081.00|Bachelor's Degree
43-9081.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
43-9081.00|Some College Courses
43-9111.00|Bachelor's Degree
43-9111.00|First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.
43-9111.00|High School Diploma - or the equivalent (for example, GED)
43-9111.00|Master's Degree
43-9111.00|Some College Courses
45-1011.00|Bachelor's Degree
45-1011.00|High School Diploma - or the equivalent (for example, GED)
45-1011.00|Less than a High School Diploma
45-1011.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
45-1011.00|Some College Courses
45-2011.00|Associate's Degree (or other 2-year degree)
45-2011.00|Bachelor's Degree
45-2011.00|High School Diploma - or the equivalent (for example, GED)
45-2011.00|Less than a High School Diploma
45-2011.00|Some College Courses
45-2021.00|High School Diploma - or the equivalent (for example, GED)
45-2021.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
45-2041.00|High School Diploma - or the equivalent (for example, GED)
45-2041.00|Less than a High School Diploma
45-2091.00|High School Diploma - or the equivalent (for example, GED)
45-2091.00|Less than a High School Diploma
45-2091.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
45-2091.00|Some College Courses
45-2092.00|Bachelor's Degree
45-2092.00|High School Diploma - or the equivalent (for example, GED)
45-2092.00|Less than a High School Diploma
45-2092.00|Master's Degree
45-2092.00|Some College Courses
45-2093.00|Associate's Degree (or other 2-year degree)
45-2093.00|High School Diploma - or the equivalent (for example, GED)
45-2093.00|Less than a High School Diploma
45-2093.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
45-2093.00|Some College Courses
45-4011.00|Associate's Degree (or other 2-year degree)
45-4011.00|High School Diploma - or the equivalent (for example, GED)
45-4011.00|Less than a High School Diploma
45-4011.00|Some College Courses
45-4021.00|High School Diploma - or the equivalent (for example, GED)
45-4021.00|Less than a High School Diploma
45-4022.00|High School Diploma - or the equivalent (for example, GED)
45-4022.00|Less than a High School Diploma
45-4023.00|High School Diploma - or the equivalent (for example, GED)
45-4023.00|Less than a High School Diploma
45-4023.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
45-4023.00|Some College Courses
47-1011.00|Associate's Degree (or other 2-year degree)
47-1011.00|Bachelor's Degree
47-1011.00|High School Diploma - or the equivalent (for example, GED)
47-1011.00|Less than a High School Diploma
47-1011.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
47-1011.00|Some College Courses
47-1011.03|Associate's Degree (or other 2-year degree)
47-1011.03|Bachelor's Degree
47-1011.03|High School Diploma - or the equivalent (for example, GED)
47-1011.03|Less than a High School Diploma
47-1011.03|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
47-1011.03|Some College Courses
47-2011.00|High School Diploma - or the equivalent (for example, GED)
47-2021.00|High School Diploma - or the equivalent (for example, GED)
47-2021.00|Less than a High School Diploma
47-2021.00|Some College Courses
47-2022.00|High School Diploma - or the equivalent (for example, GED)
47-2022.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
47-2031.00|High School Diploma - or the equivalent (for example, GED)
47-2031.00|Less than a High School Diploma
47-2031.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
47-2031.00|Some College Courses
47-2041.00|High School Diploma - or the equivalent (for example, GED)
47-2041.00|Less than a High School Diploma
47-2041.00|Some College Courses
47-2042.00|High School Diploma - or the equivalent (for example, GED)
47-2042.00|Less than a High School Diploma
47-2043.00|High School Diploma - or the equivalent (for example, GED)
47-2043.00|Less than a High School Diploma
47-2043.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
47-2044.00|High School Diploma - or the equivalent (for example, GED)
47-2044.00|Less than a High School Diploma
47-2044.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
47-2051.00|High School Diploma - or the equivalent (for example, GED)
47-2051.00|Less than a High School Diploma
47-2051.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
47-2053.00|High School Diploma - or the equivalent (for example, GED)
47-2053.00|Less than a High School Diploma
47-2053.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
47-2053.00|Some College Courses
47-2061.00|High School Diploma - or the equivalent (for example, GED)
47-2061.00|Less than a High School Diploma
47-2071.00|High School Diploma - or the equivalent (for example, GED)
47-2071.00|Less than a High School Diploma
47-2071.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
47-2072.00|High School Diploma - or the equivalent (for example, GED)
47-2072.00|Less than a High School Diploma
47-2072.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
47-2072.00|Some College Courses
47-2081.00|High School Diploma - or the equivalent (for example, GED)
47-2081.00|Less than a High School Diploma
47-2081.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
47-2081.00|Some College Courses
47-2082.00|High School Diploma - or the equivalent (for example, GED)
47-2082.00|Less than a High School Diploma
47-2082.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
47-2111.00|High School Diploma - or the equivalent (for example, GED)
47-2111.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
47-2121.00|High School Diploma - or the equivalent (for example, GED)
47-2121.00|Less than a High School Diploma
47-2121.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
47-2131.00|High School Diploma - or the equivalent (for example, GED)
47-2131.00|Less than a High School Diploma
47-2132.00|High School Diploma - or the equivalent (for example, GED)
47-2132.00|Less than a High School Diploma
47-2132.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
47-2141.00|Doctoral Degree
47-2141.00|High School Diploma - or the equivalent (for example, GED)
47-2141.00|Less than a High School Diploma
47-2141.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
47-2142.00|High School Diploma - or the equivalent (for example, GED)
47-2142.00|Less than a High School Diploma
47-2151.00|High School Diploma - or the equivalent (for example, GED)
47-2151.00|Less than a High School Diploma
47-2152.00|Associate's Degree (or other 2-year degree)
47-2152.00|High School Diploma - or the equivalent (for example, GED)
47-2152.00|Less than a High School Diploma
47-2152.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
47-2152.04|Bachelor's Degree
47-2152.04|High School Diploma - or the equivalent (for example, GED)
47-2152.04|Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.
47-2152.04|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
47-2152.04|Some College Courses
47-2161.00|High School Diploma - or the equivalent (for example, GED)
47-2161.00|Less than a High School Diploma
47-2171.00|High School Diploma - or the equivalent (for example, GED)
47-2171.00|Less than a High School Diploma
47-2171.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
47-2181.00|High School Diploma - or the equivalent (for example, GED)
47-2181.00|Less than a High School Diploma
47-2181.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
47-2181.00|Some College Courses
47-2211.00|Associate's Degree (or other 2-year degree)
47-2211.00|High School Diploma - or the equivalent (for example, GED)
47-2211.00|Less than a High School Diploma
47-2211.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
47-2221.00|High School Diploma - or the equivalent (for example, GED)
47-2221.00|Less than a High School Diploma
47-2221.00|Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.
47-2221.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
47-2231.00|High School Diploma - or the equivalent (for example, GED)
47-2231.00|Less than a High School Diploma
47-2231.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
47-3011.00|First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.
47-3011.00|High School Diploma - or the equivalent (for example, GED)
47-3011.00|Less than a High School Diploma
47-3011.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
47-3012.00|Less than a High School Diploma
47-3012.00|Some College Courses
47-3013.00|Less than a High School Diploma
47-3013.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
47-3014.00|High School Diploma - or the equivalent (for example, GED)
47-3014.00|Less than a High School Diploma
47-3015.00|Less than a High School Diploma
47-3015.00|Master's Degree
47-3015.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
47-3015.00|Some College Courses
47-3016.00|Less than a High School Diploma
47-3016.00|Post-Doctoral Training
47-3016.00|Some College Courses
47-4021.00|Associate's Degree (or other 2-year degree)
47-4021.00|First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.
47-4021.00|High School Diploma - or the equivalent (for example, GED)
47-4021.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
47-4031.00|High School Diploma - or the equivalent (for example, GED)
47-4031.00|Less than a High School Diploma
47-4041.00|Bachelor's Degree
47-4041.00|High School Diploma - or the equivalent (for example, GED)
47-4041.00|Less than a High School Diploma
47-4041.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
47-4041.00|Some College Courses
47-4051.00|Associate's Degree (or other 2-year degree)
47-4051.00|High School Diploma - or the equivalent (for example, GED)
47-4051.00|Less than a High School Diploma
47-4061.00|High School Diploma - or the equivalent (for example, GED)
47-4061.00|Less than a High School Diploma
47-4071.00|High School Diploma - or the equivalent (for example, GED)
47-4071.00|Less than a High School Diploma
47-4071.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
47-4091.00|High School Diploma - or the equivalent (for example, GED)
47-4091.00|Less than a High School Diploma
47-4091.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
47-5011.00|High School Diploma - or the equivalent (for example, GED)
47-5011.00|Less than a High School Diploma
47-5012.00|Bachelor's Degree
47-5012.00|High School Diploma - or the equivalent (for example, GED)
47-5012.00|Less than a High School Diploma
47-5012.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
47-5012.00|Some College Courses
47-5022.00|High School Diploma - or the equivalent (for example, GED)
47-5022.00|Less than a High School Diploma
47-5022.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
47-5023.00|High School Diploma - or the equivalent (for example, GED)
